Model,Price,Rating,RAM,ROM,Brand,Website,Rating
"REDMI 9i Sport (Carbon Black, 64 GB)","7,199",4.3,4 GB RAM , 64 GB ROM ,REDMI,PhoneArena,"2,09,377 Ratings"
"POCO M4 Pro 5G (Cool Blue, 128 GB)","13,999",4.2,6 GB RAM , 128 GB ROM ,POCO,PhoneArena,"41,124 Ratings"
"MOTOROLA g52 (Metallic White, 128 GB)","12,999",4.2,6 GB RAM , 128 GB ROM,MOTOROLA,PhoneArena,"20,882 Ratings"
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","13,999",4.2,4 GB RAM , 128 GB ROM ,SAMSUNG,PhoneArena,"32,083 Ratings"
"realme 9 5G (Supersonic Blue, 128 GB)","16,499",4.4,6 GB RAM , 128 GB ROM ,realme,PhoneArena,"44,415 Ratings"
"realme 9 5G (Meteor Black, 128 GB)","16,499",4.4,6 GB RAM , 128 GB ROM ,realme,PhoneArena,"44,415 Ratings"
"realme 9 5G (Meteor Black, 64 GB)","14,999",4.5,4 GB RAM , 64 GB ROM ,realme,PhoneArena,"36,109 Ratings"
"realme 9 5G (Stargaze White, 64 GB)","14,999",4.5,4 GB RAM , 64 GB ROM ,realme,PhoneArena,"36,109 Ratings"
"APPLE iPhone 14 (Starlight, 128 GB)","73,990",4.6,,128 GB ROM,APPLE,PhoneArena,981 Ratings
"MOTOROLA g52 (Charcoal Grey, 128 GB)","12,999",4.2,6 GB RAM , 128 GB ROM,MOTOROLA,PhoneArena,"20,882 Ratings"
"APPLE iPhone 14 (Midnight, 128 GB)","73,990",4.6,,128 GB ROM,APPLE,PhoneArena,981 Ratings
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","14,999",4.3,6 GB RAM , 128 GB ROM ,SAMSUNG,PhoneArena,"1,37,778 Ratings"
"MOTOROLA G32 (Satin Silver, 64 GB)","9,999",4.2,4 GB RAM , 64 GB ROM,MOTOROLA,PhoneArena,"16,249 Ratings"
"MOTOROLA G62 5G (Frosted Blue, 128 GB)","14,999",4.1,6 GB RAM , 128 GB ROM,MOTOROLA,PhoneArena,"8,567 Ratings"
"MOTOROLA g42 (Atlantic Green, 64 GB)","10,999",4.1,4 GB RAM , 64 GB ROM,MOTOROLA,PhoneArena,"3,075 Ratings"
"APPLE iPhone 14 (Blue, 128 GB)","73,990",4.6,,128 GB ROM,APPLE,PhoneArena,981 Ratings
"realme 9 5G (Supersonic Black, 128 GB)","16,499",4.4,6 GB RAM , 128 GB ROM ,realme,PhoneArena,"44,415 Ratings"
"Infinix HOT 20 Play (Racing Black, 64 GB)","8,199",4.3,4 GB RAM , 64 GB ROM ,Infinix,PhoneArena,505 Ratings
"Infinix HOT 20 Play (Aurora Green, 64 GB)","8,199",4.3,4 GB RAM , 64 GB ROM ,Infinix,PhoneArena,505 Ratings
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)","8,199",4.3,4 GB RAM , 64 GB ROM ,Infinix,PhoneArena,505 Ratings
"APPLE iPhone 14 (Purple, 128 GB)","73,990",4.6,,128 GB ROM,APPLE,PhoneArena,981 Ratings
"vivo T1 5G (Rainbow Fantasy, 128 GB)","15,990",4.3,4 GB RAM , 128 GB ROM ,vivo,PhoneArena,"59,607 Ratings"
"vivo T1 5G (Rainbow Fantasy, 128 GB)","16,990",4.4,6 GB RAM , 128 GB ROM ,vivo,PhoneArena,"1,57,801 Ratings"
"REDMI Note 11 SE (Cosmic White, 64 GB)","11,999",4.3,6 GB RAM , 64 GB ROM ,REDMI,PhoneArena,"30,409 Ratings"
"REDMI 10 (Pacific Blue, 64 GB)","9,999",4.3,4 GB RAM , 64 GB ROM ,REDMI,PhoneArena,"1,65,144 Ratings"
"POCO C31 (Royal Blue, 64 GB)","7,499",4.3,4 GB RAM , 64 GB ROM ,POCO,PhoneArena,"1,83,688 Ratings"
"REDMI 10 (Midnight Black, 64 GB)","9,999",4.3,4 GB RAM , 64 GB ROM ,REDMI,PhoneArena,"1,65,144 Ratings"
"MOTOROLA G32 (Mineral Gray, 64 GB)","9,999",4.2,4 GB RAM , 64 GB ROM,MOTOROLA,PhoneArena,"16,249 Ratings"
"POCO M4 5G (Cool Blue, 128 GB)","13,999",4.2,6 GB RAM , 128 GB ROM ,POCO,PhoneArena,"22,699 Ratings"
"vivo T1X (Gravity Black, 64 GB)","11,999",4.5,4 GB RAM , 64 GB ROM,vivo,PhoneArena,"68,117 Ratings"
"vivo T1X (Space Blue, 64 GB)","11,999",4.5,4 GB RAM , 64 GB ROM,vivo,PhoneArena,"68,117 Ratings"
"POCO M4 5G (Cool Blue, 64 GB)","11,999",4.2,4 GB RAM , 64 GB ROM ,POCO,PhoneArena,"45,400 Ratings"
"POCO M4 5G (Power Black, 128 GB)","13,999",4.2,6 GB RAM , 128 GB ROM ,POCO,PhoneArena,"22,699 Ratings"
"MOTOROLA g82 5G(White Lily, 128 GB)","18,999",4.2,6 GB RAM , 128 GB ROM ,MOTOROLA,PhoneArena,"5,211 Ratings"
"vivo T1 5G (Starlight Black, 128 GB)","15,990",4.3,4 GB RAM , 128 GB ROM ,vivo,PhoneArena,"59,607 Ratings"
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","13,999",4.2,4 GB RAM , 128 GB ROM ,SAMSUNG,PhoneArena,"32,083 Ratings"
"Infinix Smart 6 HD (Aqua Sky, 32 GB)","5,799",4.4,2 GB RAM , 32 GB ROM ,Infinix,PhoneArena,"15,648 Ratings"
"Infinix Smart 6 HD (Origin Blue, 32 GB)","5,799",4.4,2 GB RAM , 32 GB ROM ,Infinix,PhoneArena,"15,648 Ratings"
"realme 9i (Prism Blue, 128 GB)","12,599",4.5,, 128 GB ROM ,realme,PhoneArena,"1,16,293 Ratings"
"APPLE iPhone 13 (Starlight, 128 GB)","60,999",4.7,4 GB RAM ,128 GB ROM,APPLE,PhoneArena,"1,77,611 Ratings"
"vivo T1X (Gravity Black, 128 GB)","12,999",4.5,4 GB RAM , 128 GB ROM,vivo,PhoneArena,"68,117 Ratings"
"POCO M3 Pro 5G (Yellow, 128 GB)","17,999",4.2,6 GB RAM , 128 GB ROM ,POCO,PhoneArena,"52,420 Ratings"
"vivo T1X (Space Blue, 128 GB)","12,999",4.5,4 GB RAM , 128 GB ROM,vivo,PhoneArena,"68,117 Ratings"
"SAMSUNG Galaxy S21 FE 5G (Graphite, 128 GB)","35,999",4.4,8 GB RAM , 128 GB ROM,SAMSUNG,PhoneArena,"29,082 Ratings"
"Infinix Hot 12 (7° Purple, 64 GB)","8,899",4.2,4 GB RAM , 64 GB ROM,Infinix,PhoneArena,"14,750 Ratings"
"vivo T1 44W (Midnight Galaxy, 128 GB)","14,499",4.5,4 GB RAM , 128 GB ROM ,vivo,PhoneArena,"74,897 Ratings"
"vivo T1 44W (Starry Sky, 128 GB)","14,499",4.5,4 GB RAM , 128 GB ROM ,vivo,PhoneArena,"74,897 Ratings"
"Infinix Smart 6 HD (Force Black, 32 GB)","5,799",4.4,2 GB RAM , 32 GB ROM ,Infinix,PhoneArena,"15,648 Ratings"
"realme 9i (Prism Blue, 128 GB)","13,599",4.5,6 GB RAM , 128 GB ROM ,realme,PhoneArena,"25,752 Ratings"
"realme 9i (Prism Black, 128 GB)","12,599",4.5,4 GB RAM , 128 GB ROM ,realme,PhoneArena,"1,16,293 Ratings"
Nokia 105 SS,"1,299",4.2,32 MB RAM , 32 MB ROM,Nokia,PhoneArena,"24,816 Ratings"
"Infinix Hot 12 (Exploratory Blue, 64 GB)","8,899",4.2,4 GB RAM , 64 GB ROM,Infinix,PhoneArena,"14,750 Ratings"
"MOTOROLA g42 (Metallic Rose, 64 GB)","10,999",4.1,4 GB RAM , 64 GB ROM,MOTOROLA,PhoneArena,"3,075 Ratings"
"MOTOROLA g72 (Meteorite Grey, 128 GB)","14,999",4.1,6 GB RAM , 128 GB ROM ,MOTOROLA,PhoneArena,"4,878 Ratings"
Nokia 105 SS,"1,299",4.2,32 MB RAM , 32 MB ROM,Nokia,PhoneArena,"24,816 Ratings"
"MOTOROLA g31 (Baby Blue, 128 GB)","11,999",4.1,6 GB RAM , 128 GB ROM ,MOTOROLA,PhoneArena,"12,475 Ratings"
"APPLE iPhone 13 (Pink, 128 GB)","60,999",4.7,,128 GB ROM,APPLE,PhoneArena,"1,77,611 Ratings"
"MOTOROLA g72 (Polar Blue, 128 GB)","14,999",4.1,6 GB RAM , 128 GB ROM ,MOTOROLA,PhoneArena,"4,878 Ratings"
"POCO M4 Pro 5G (Yellow, 64 GB)","11,999",4.3,4 GB RAM , 64 GB ROM ,POCO,PhoneArena,"33,258 Ratings"
"vivo T1X (Space Blue, 128 GB)","14,999",4.4,6 GB RAM , 128 GB ROM,vivo,PhoneArena,"3,415 Ratings"
"MOTOROLA g82 5G (Meterorite Grey, 128 GB)","20,499",4.1,8 GB RAM , 128 GB ROM ,MOTOROLA,PhoneArena,"3,123 Ratings"
"Infinix Smart 6 Plus (Tranquil Sea Blue, 64 GB)","7,599",4.2,3 GB RAM , 64 GB ROM ,Infinix,PhoneArena,"9,919 Ratings"
"Infinix HOT 20 Play (Luna Blue, 64 GB)","8,199",4.3,4 GB RAM , 64 GB ROM ,Infinix,PhoneArena,505 Ratings
"MOTOROLA e40 (Carbon Gray, 64 GB)","7,999",4.1,4 GB RAM , 64 GB ROM ,MOTOROLA,PhoneArena,"56,085 Ratings"
"POCO C31 (Shadow Gray, 64 GB)","7,499",4.3,4 GB RAM , 64 GB ROM ,POCO,PhoneArena,"1,83,688 Ratings"
"REDMI 9i Sport (Coral Green, 64 GB)","7,199",4.3,4 GB RAM , 64 GB ROM ,REDMI,PhoneArena,"2,09,377 Ratings"
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","14,999",4.3,6 GB RAM , 128 GB ROM ,SAMSUNG,PhoneArena,"1,37,778 Ratings"
"POCO M4 Pro 5G (Cool Blue, 64 GB)","11,999",4.3,4 GB RAM , 64 GB ROM ,POCO,PhoneArena,"33,258 Ratings"
"MOTOROLA e40 (Pink Clay, 64 GB)","7,999",4.1,4 GB RAM , 64 GB ROM ,MOTOROLA,PhoneArena,"56,085 Ratings"
"realme 9 5G (Stargaze White, 128 GB)","16,499",4.4,6 GB RAM , 128 GB ROM ,realme,PhoneArena,"44,415 Ratings"
"realme 9 5G (Supersonic Blue, 64 GB)","14,999",4.5,4 GB RAM , 64 GB ROM ,realme,PhoneArena,"36,109 Ratings"
"MOTOROLA G62 5G (Midnight Gray, 128 GB)","14,999",4.1,6 GB RAM , 128 GB ROM,MOTOROLA,PhoneArena,"8,567 Ratings"
"REDMI 9i Sport (Carbon Black, 64 GB)","7,199",4.3,4 GB RAM , 64 GB ROM ,REDMI,PhoneArena,"2,09,377 Ratings"
"POCO M4 Pro 5G (Cool Blue, 128 GB)","13,999",4.2,6 GB RAM , 128 GB ROM ,POCO,PhoneArena,"41,124 Ratings"
"MOTOROLA g52 (Metallic White, 128 GB)","12,999",4.2,6 GB RAM , 128 GB ROM,MOTOROLA,PhoneArena,"20,882 Ratings"
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","13,999",4.2,4 GB RAM , 128 GB ROM ,SAMSUNG,PhoneArena,"32,083 Ratings"
"realme 9 5G (Supersonic Blue, 128 GB)","16,499",4.4,6 GB RAM , 128 GB ROM ,realme,PhoneArena,"44,415 Ratings"
"realme 9 5G (Meteor Black, 128 GB)","16,499",4.4,6 GB RAM , 128 GB ROM ,realme,PhoneArena,"44,415 Ratings"
"realme 9 5G (Meteor Black, 64 GB)","14,999",4.5,4 GB RAM , 64 GB ROM ,realme,PhoneArena,"36,109 Ratings"
"realme 9 5G (Stargaze White, 64 GB)","14,999",4.5,4 GB RAM , 64 GB ROM ,realme,PhoneArena,"36,109 Ratings"
"APPLE iPhone 14 (Starlight, 128 GB)","73,990",4.6,,128 GB ROM,APPLE,PhoneArena,981 Ratings
"MOTOROLA g52 (Charcoal Grey, 128 GB)","12,999",4.2,6 GB RAM , 128 GB ROM,MOTOROLA,PhoneArena,"20,882 Ratings"
"APPLE iPhone 14 (Midnight, 128 GB)","73,990",4.6,,128 GB ROM,APPLE,PhoneArena,981 Ratings
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","14,999",4.3,6 GB RAM , 128 GB ROM ,SAMSUNG,PhoneArena,"1,37,778 Ratings"
"MOTOROLA G32 (Satin Silver, 64 GB)","9,999",4.2,4 GB RAM , 64 GB ROM,MOTOROLA,PhoneArena,"16,249 Ratings"
"MOTOROLA G62 5G (Frosted Blue, 128 GB)","14,999",4.1,6 GB RAM , 128 GB ROM,MOTOROLA,PhoneArena,"8,567 Ratings"
"MOTOROLA g42 (Atlantic Green, 64 GB)","10,999",4.1,4 GB RAM , 64 GB ROM,MOTOROLA,PhoneArena,"3,075 Ratings"
"APPLE iPhone 14 (Blue, 128 GB)","73,990",4.6,,128 GB ROM,APPLE,PhoneArena,981 Ratings
"realme 9 5G (Supersonic Black, 128 GB)","16,499",4.4,6 GB RAM , 128 GB ROM ,realme,PhoneArena,"44,415 Ratings"
"Infinix HOT 20 Play (Racing Black, 64 GB)","8,199",4.3,4 GB RAM , 64 GB ROM ,Infinix,PhoneArena,505 Ratings
"Infinix HOT 20 Play (Aurora Green, 64 GB)","8,199",4.3,4 GB RAM , 64 GB ROM ,Infinix,PhoneArena,505 Ratings
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)","8,199",4.3,4 GB RAM , 64 GB ROM ,Infinix,PhoneArena,505 Ratings
"APPLE iPhone 14 (Purple, 128 GB)","73,990",4.6,,128 GB ROM,APPLE,PhoneArena,981 Ratings
"vivo T1 5G (Rainbow Fantasy, 128 GB)","15,990",4.3,4 GB RAM , 128 GB ROM ,vivo,PhoneArena,"59,607 Ratings"
"vivo T1 5G (Rainbow Fantasy, 128 GB)","16,990",4.4,6 GB RAM , 128 GB ROM ,vivo,PhoneArena,"1,57,801 Ratings"
"REDMI Note 11 SE (Cosmic White, 64 GB)","11,999",4.3,6 GB RAM , 64 GB ROM ,REDMI,PhoneArena,"30,409 Ratings"
"REDMI 10 (Pacific Blue, 64 GB)","9,999",4.3,4 GB RAM , 64 GB ROM ,REDMI,PhoneArena,"1,65,144 Ratings"
"POCO C31 (Royal Blue, 64 GB)","7,499",4.3,4 GB RAM , 64 GB ROM ,POCO,PhoneArena,"1,83,688 Ratings"
"REDMI 10 (Midnight Black, 64 GB)","9,999",4.3,4 GB RAM , 64 GB ROM ,REDMI,PhoneArena,"1,65,144 Ratings"
"MOTOROLA G32 (Mineral Gray, 64 GB)","9,999",4.2,4 GB RAM , 64 GB ROM,MOTOROLA,PhoneArena,"16,249 Ratings"
"POCO M4 5G (Cool Blue, 128 GB)","13,999",4.2,6 GB RAM , 128 GB ROM ,POCO,PhoneArena,"22,699 Ratings"
"vivo T1X (Gravity Black, 64 GB)","11,999",4.5,4 GB RAM , 64 GB ROM,vivo,PhoneArena,"68,117 Ratings"
"vivo T1X (Space Blue, 64 GB)","11,999",4.5,4 GB RAM , 64 GB ROM,vivo,PhoneArena,"68,117 Ratings"
"POCO M4 5G (Cool Blue, 64 GB)","11,999",4.2,4 GB RAM , 64 GB ROM ,POCO,PhoneArena,"45,400 Ratings"
"POCO M4 5G (Power Black, 128 GB)","13,999",4.2,6 GB RAM , 128 GB ROM ,POCO,PhoneArena,"22,699 Ratings"
